,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
117,55 Cnc e,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=DEMORY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.532..207D/abstract target=ref>Demory et al. 2016</a>,0.736539,0.01544,1.91,0.17,0.02542,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,0.96,0.9,0.35,[M/H],4.42,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2016-04,31/01/2019
129,61 Vir b,61 Vir,Gaia DR2 3507879565090229888,0,1,3,Radial Velocity,2009,Multiple Observatories,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,4.21487,0.04956,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,,5585.57,1.03,0.91,0.028,[Fe/H],4.37,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,1508.841627,-1070.81,-1063.0,8.50332,4.6955,2.956,4.54052,20/09/2021,2021-05,20/09/2021
130,61 Vir b,61 Vir,Gaia DR2 3507879565090229888,1,1,3,Radial Velocity,2009,Multiple Observatories,Published Confirmed,0,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,4.215,0.050201,,,,0,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],4.34,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,1508.841627,-1070.81,-1063.0,8.50332,4.6955,2.956,4.54052,14/05/2014,2010-01,14/05/2014
158,AU Mic b,AU Mic,Gaia DR2 6794047652729201024,1,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,8.4629991,0.0645,,,0.0633,1,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,,,,0.5,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,456.8630854,281.424,-359.895,9.7221,8.81,4.529,7.84038,9/05/2022,2021-12,9/05/2022
159,AU Mic b,AU Mic,Gaia DR2 6794047652729201024,0,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GILBERT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..147G/abstract target=ref>Gilbert et al. 2022</a>,8.4630004,0.0644,4.19,0.374,,1,<a refstr=GILBERT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..147G/abstract target=ref>Gilbert et al. 2022</a>,,,0.75,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,456.8630854,281.424,-359.895,9.7221,8.81,4.529,7.84038,9/05/2022,2022-04,9/05/2022
161,AU Mic b,AU Mic,Gaia DR2 6794047652729201024,0,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,8.463,0.0645,4.07,0.363,0.05349,1,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,,3700.0,0.75,0.5,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,456.8630854,281.424,-359.895,9.7221,8.81,4.529,7.84038,9/08/2021,2021-05,9/08/2021
162,AU Mic b,AU Mic,Gaia DR2 6794047652729201024,0,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,8.46321,0.066,4.203,0.375,,1,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,,3700.0,0.75,0.5,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,456.8630854,281.424,-359.895,9.7221,8.81,4.529,7.84038,12/06/2020,2020-06,24/06/2020
163,AU Mic b,AU Mic,Gaia DR2 6794047652729201024,0,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,8.46308,0.0649,3.957,0.353,,1,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,3678.0,0.74,0.51,0.23,[Fe/H],4.4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,456.8630854,281.424,-359.895,9.7221,8.81,4.529,7.84038,29/11/2023,2023-12,29/11/2023
196,BD-06 1339 b,BD-06 1339,Gaia DR2 3022099969137163904,1,1,2,Radial Velocity,2013,La Silla Observatory,Published Confirmed,1,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,3.8728,0.0428,,,,0,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,K7/M0 V,4324.0,,0.7,-0.14,[Fe/H],4.74,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,346.7225761,-1.04543,-346.721,20.2695,9.7,6.305,9.10677,14/05/2014,2013-03,14/05/2014
215,CD Cet b,CD Cet,Gaia DR2 3179036008830848,1,1,1,Radial Velocity,2020,Calar Alto Observatory,Published Confirmed,0,<a refstr=BAUER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..50B/abstract target=ref>Bauer et al. 2020</a>,2.2907,0.0185,,,,0,<a refstr=BAUER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..50B/abstract target=ref>Bauer et al. 2020</a>,M5.0 V,3130.0,0.17,0.16,0.13,[Fe/H],4.93,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h13m24.72s,48.3530155,+04d46m30.68s,4.7751881,1743.982574,1741.86,86.0172,8.60715,13.95,7.833,12.1232,2/11/2021,2020-08,2/11/2021
495,GJ 1002 b,GJ 1002,Gaia DR2 2441630500517079808,1,1,2,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221207332S/abstract target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2022</a>,10.3465,0.0457,,,,0,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221207332S/abstract target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2022</a>,M5.5 V,3024.0,0.14,0.12,-0.25,[Fe/H],5.1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h06m42.35s,1.6764641,-07d32m46.36s,-7.5462123,2059.507271,-811.48,-1892.9,4.84867,,7.439,11.7804,17/12/2022,2022-12,17/12/2022
496,GJ 1002 c,GJ 1002,Gaia DR2 2441630500517079808,1,1,2,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221207332S/abstract target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2022</a>,21.202,0.0738,,,,0,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221207332S/abstract target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2022</a>,M5.5 V,3024.0,0.14,0.12,-0.25,[Fe/H],5.1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h06m42.35s,1.6764641,-07d32m46.36s,-7.5462123,2059.507271,-811.48,-1892.9,4.84867,,7.439,11.7804,17/12/2022,2022-12,17/12/2022
497,GJ 1061 b,GJ 1061,Gaia DR2 4848140361962951552,1,1,3,Radial Velocity,2020,La Silla Observatory,Published Confirmed,0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,3.204,0.021,,,,0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,M5.5 V,2953.0,0.16,0.12,-0.08,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,833.7162183,745.286,-373.673,3.67278,12.7,6.61,10.9889,21/02/2020,2020-03,27/02/2020
498,GJ 1061 c,GJ 1061,Gaia DR2 4848140361962951552,1,1,3,Radial Velocity,2020,La Silla Observatory,Published Confirmed,0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,6.689,0.035,,,,0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,M5.5 V,2953.0,0.16,0.12,-0.08,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,833.7162183,745.286,-373.673,3.67278,12.7,6.61,10.9889,21/02/2020,2020-03,27/02/2020
499,GJ 1061 d,GJ 1061,Gaia DR2 4848140361962951552,1,1,3,Radial Velocity,2020,La Silla Observatory,Published Confirmed,0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,13.031,0.054,,,,0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,M5.5 V,2953.0,0.16,0.12,-0.08,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,833.7162183,745.286,-373.673,3.67278,12.7,6.61,10.9889,21/02/2020,2020-03,27/02/2020
502,GJ 1132 b,GJ 1132,Gaia DR2 5413438219396893568,1,1,2,Transit,2015,Cerro Tololo Inter-American Observatory,Published Confirmed,0,<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.142B/abstract target=ref>Bonfils et al. 2018</a>,1.628931,0.0153,1.13,0.101,0.00522,0,<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.142B/abstract target=ref>Bonfils et al. 2018</a>,,3270.0,0.21,0.18,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m50.18s,153.7090696,-47d09m17.77s,-47.1549358,1132.483258,-1053.98,414.3,12.613,13.68,8.322,12.138,28/05/2020,2018-10,4/06/2020
504,GJ 1132 b,GJ 1132,Gaia DR2 5413438219396893568,0,1,2,Transit,2015,Cerro Tololo Inter-American Observatory,Published Confirmed,0,<a refstr=SOUTHWORTH_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..191S/abstract target=ref>Southworth et al. 2017</a>,1.6289287,0.01533,1.43,0.128,0.00513,0,<a refstr=SOUTHWORTH_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..191S/abstract target=ref>Southworth et al. 2017</a>,,,0.26,0.18,,,4.88,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m50.18s,153.7090696,-47d09m17.77s,-47.1549358,1132.483258,-1053.98,414.3,12.613,13.68,8.322,12.138,26/06/2018,2017-04,27/07/2017
